city,latitude,longitude,post_code,timezone,minimum_delivery_time,minimum_order_amount,minimum_pickup_time,name,rating,review_number,review_with_comment_number,vertical,vertical_parent,delivery_provider,is_active,is_new,is_promoted,dine_in,main_cuisine
Karachi,24.90124264,67.20090687,75050,Asia/Karachi,0,0,15,Roll N Roll,3.8,82,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.8939395,67.058118,74600,Asia/Karachi,0,0,15,Crispiest Fast Food,1.0,3,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.9021814,67.0671992,75290,Asia/Karachi,17030,0,15,H pro pizza and fastfood,3.5,95,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pizza
Karachi,24.86892128,67.05935669,75400,Asia/Karachi,50,0,20,Imperial Court Chinese Restaurant,4.2,1187,0,restaurants,Restaurant,dine_in,True,False,False,True,Chinese
Karachi,24.904414,67.068519,75300,Asia/Karachi,17020,0,5,Aslam Nihari & Bar B Q Fast Food,3.9,83,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.887898,67.077958,74000,Asia/Karachi,17025,0,10,Standard khauasa,4.1,1856,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.80649935,67.03971565,75500,Asia/Karachi,17020,0,15,King's Dairy,0.0,0,0,specialty_and_ethnic,Shop,platform_delivery,True,False,False,False,
Karachi,24.940572,67.099036,75500,Asia/Karachi,0,0,12,Marhaba Bar B.Q & Sheermal House,4.1,598,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.96561247,67.12944493,75300,Asia/Karachi,17035,0,5,Lala pakwan and shirmal house,4.2,845,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.8119155,67.0185602,75500,Asia/Karachi,17005,0,5,Munawar Restaurant,4.3,2272,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9670102,67.1212884,7520,Asia/Karachi,17035,0,10,SAQI Drinks,4.1,48,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Healthy Food
Karachi,24.9261484,67.0320726,74600,Asia/Karachi,0,0,12,Nayab Roll Bar BQ and Fastfood,3.3,434,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.8381025,67.0816821,75460,Asia/Karachi,0,0,15,Karachi Milk Shake & Juice,4.2,285,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Beverages
Karachi,24.9320427,67.0702237,75300,Asia/Karachi,0,0,20,Hassan Zai Koyla Karahi Sajji & Bar B Que,4.1,3032,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9322855,67.0706794,75950,Asia/Karachi,0,0,12,Kundan Broast (FB AREA),4.2,5601,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.8079979,67.0616788,75500,Asia/Karachi,17020,0,10,Bread n crust,4.3,3,0,restaurants,Restaurant,platform_delivery,True,True,False,False,Fast Food
Karachi,24.8851521,67.1518029,75320,Asia/Karachi,17045,0,15,Momos Junction by Mahnoor,3.4,115,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9400949,67.0520136,75950,Asia/Karachi,0,0,12,Pizza Y Not,2.7,12,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pizza
Karachi,24.93148145,67.09957165,75300,Asia/Karachi,17035,0,15,Bhai Jaan Hotel,3.8,221,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.88782495,67.07776515,75500,Asia/Karachi,0,0,15,Khausa Memoni Curry Khausa,4.0,64,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Chinese
Karachi,24.9385298,67.0422898,74700,Asia/Karachi,17015,0,5,Rashid Pakwan & Catering,4.2,62,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.7993042,67.0447171,75500,Asia/Karachi,17015,0,10,The Malt - Badar,3.6,370,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Cakes & Bakery
Karachi,24.9863012,67.0679002,75850,Asia/Karachi,17030,0,10,Healthy Home Delights,3.4,5,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9229599,67.0727179,75950,Asia/Karachi,0,0,20,Potato King,3.8,739,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.84091955,67.19457915,75230,Asia/Karachi,0,0,12,BFC Fast Food & Bar B.Q,3.4,533,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Fast Food
Karachi,24.87320875,67.0574553,75400,Asia/Karachi,17020,0,10,LACHINE,4.3,1791,0,restaurants,Restaurant,dine_in,True,False,False,True,Chinese
Karachi,24.9096503,67.0847652,75300,Asia/Karachi,0,0,15,Makkah Food And Juice Center,2.8,6,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.854094,67.063967,75400,Asia/Karachi,17025,0,15,Zainab Kitchen,3.8,2021,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9220185,67.103208,75300,Asia/Karachi,17025,0,5,Veg & Fruits Mart,0.0,0,0,fruits_and_vegetables,Shop,platform_delivery,True,False,False,False,
Karachi,24.92768,67.094105,000000,Asia/Karachi,17030,0,15,Mama's Kitchen 67,3.9,114,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.9525283,67.0638408,75850,Asia/Karachi,0,0,12,Al Mustafa Pakwan Centre (BUFFER ZONE),3.9,333,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.7794697,67.0656387,75600,Asia/Karachi,17020,0,10,Chotu Chaiwala - Saba Avenue,3.8,166,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.8017351,67.0371296,75500,Asia/Karachi,17015,0,10,Cafe Saba - DHA,4.4,762,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
Karachi,24.8606258,67.0332852,75290,Asia/Karachi,0,0,15,Food Punch Karachi,4.1,48,0,restaurants,Restaurant,platform_delivery,True,False,False,False,Pakistani
